1	4	0.16	2.90E+10	2.13E-03	2500
4	7	0.16	2.90E+10	2.13E-03	2500
7	10	0.16	2.90E+10	2.13E-03	2500
2	5	0.16	2.90E+10	2.13E-03	2500
5	8	0.16	2.90E+10	2.13E-03	2500
8	11	0.16	2.90E+10	2.13E-03	2500
3	6	0.16	2.90E+10	2.13E-03	2500
6	9	0.16	2.90E+10	2.13E-03	2500
9	12	0.16	2.90E+10	2.13E-03	2500
4	5	0.12	2.90E+10	9.00E-04	2500
5	6	0.12	2.90E+10	9.00E-04	2500
7	8	0.12	2.90E+10	9.00E-04	2500
8	9	0.12	2.90E+10	9.00E-04	2500
10	11	0.12	2.90E+10	9.00E-04	2500
11	12	0.12	2.90E+10	9.00E-04	2500
